week,data,forecast
27/03/14,8,X
14/04/14,26,X
02/05/14,13,X
20/05/14,12,X
07/06/14,12,X
25/06/14,65,X
13/07/14,165,X
31/07/14,391,X
18/08/14,822,X
05/09/14,1785,X
23/09/14,3151,X
11/10/14,4111,X
16/11/14,6954,X
04/12/14,7647,X
10/12/14,7719,7719
22/12/14,X,8875
09/01/15,X,9646
27/01/15,X,10185
